skin_id,variant_id,view_png,atlas_png,meta_json
skin_180ffb08,0000,data_v35_bluecurve_overfit/views/skin_180ffb08_0000.png,data_v35_bluecurve_overfit/atlases/skin_180ffb08.png,data_v35_bluecurve_overfit/atlases/skin_180ffb08.meta.json
skin_180ffb08,0001,data_v35_bluecurve_overfit/views/skin_180ffb08_0001.png,data_v35_bluecurve_overfit/atlases/skin_180ffb08.png,data_v35_bluecurve_overfit/atlases/skin_180ffb08.meta.json
skin_180ffb08,0002,data_v35_bluecurve_overfit/views/skin_180ffb08_0002.png,data_v35_bluecurve_overfit/atlases/skin_180ffb08.png,data_v35_bluecurve_overfit/atlases/skin_180ffb08.meta.json
skin_180ffb08,0003,data_v35_bluecurve_overfit/views/skin_180ffb08_0003.png,data_v35_bluecurve_overfit/atlases/skin_180ffb08.png,data_v35_bluecurve_overfit/atlases/skin_180ffb08.meta.json
skin_180ffb08,0004,data_v35_bluecurve_overfit/views/skin_180ffb08_0004.png,data_v35_bluecurve_overfit/atlases/skin_180ffb08.png,data_v35_bluecurve_overfit/atlases/skin_180ffb08.meta.json
skin_180ffb08,0005,data_v35_bluecurve_overfit/views/skin_180ffb08_0005.png,data_v35_bluecurve_overfit/atlases/skin_180ffb08.png,data_v35_bluecurve_overfit/atlases/skin_180ffb08.meta.json
skin_180ffb08,0006,data_v35_bluecurve_overfit/views/skin_180ffb08_0006.png,data_v35_bluecurve_overfit/atlases/skin_180ffb08.png,data_v35_bluecurve_overfit/atlases/skin_180ffb08.meta.json
skin_180ffb08,0007,data_v35_bluecurve_overfit/views/skin_180ffb08_0007.png,data_v35_bluecurve_overfit/atlases/skin_180ffb08.png,data_v35_bluecurve_overfit/atlases/skin_180ffb08.meta.json
skin_180ffb08,0008,data_v35_bluecurve_overfit/views/skin_180ffb08_0008.png,data_v35_bluecurve_overfit/atlases/skin_180ffb08.png,data_v35_bluecurve_overfit/atlases/skin_180ffb08.meta.json
skin_180ffb08,0009,data_v35_bluecurve_overfit/views/skin_180ffb08_0009.png,data_v35_bluecurve_overfit/atlases/skin_180ffb08.png,data_v35_bluecurve_overfit/atlases/skin_180ffb08.meta.json
skin_180ffb08,0010,data_v35_bluecurve_overfit/views/skin_180ffb08_0010.png,data_v35_bluecurve_overfit/atlases/skin_180ffb08.png,data_v35_bluecurve_overfit/atlases/skin_180ffb08.meta.json
skin_180ffb08,0011,data_v35_bluecurve_overfit/views/skin_180ffb08_0011.png,data_v35_bluecurve_overfit/atlases/skin_180ffb08.png,data_v35_bluecurve_overfit/atlases/skin_180ffb08.meta.json
skin_180ffb08,0012,data_v35_bluecurve_overfit/views/skin_180ffb08_0012.png,data_v35_bluecurve_overfit/atlases/skin_180ffb08.png,data_v35_bluecurve_overfit/atlases/skin_180ffb08.meta.json
skin_180ffb08,0013,data_v35_bluecurve_overfit/views/skin_180ffb08_0013.png,data_v35_bluecurve_overfit/atlases/skin_180ffb08.png,data_v35_bluecurve_overfit/atlases/skin_180ffb08.meta.json
skin_180ffb08,0014,data_v35_bluecurve_overfit/views/skin_180ffb08_0014.png,data_v35_bluecurve_overfit/atlases/skin_180ffb08.png,data_v35_bluecurve_overfit/atlases/skin_180ffb08.meta.json
skin_180ffb08,0015,data_v35_bluecurve_overfit/views/skin_180ffb08_0015.png,data_v35_bluecurve_overfit/atlases/skin_180ffb08.png,data_v35_bluecurve_overfit/atlases/skin_180ffb08.meta.json
skin_180ffb08,0016,data_v35_bluecurve_overfit/views/skin_180ffb08_0016.png,data_v35_bluecurve_overfit/atlases/skin_180ffb08.png,data_v35_bluecurve_overfit/atlases/skin_180ffb08.meta.json
skin_180ffb08,0017,data_v35_bluecurve_overfit/views/skin_180ffb08_0017.png,data_v35_bluecurve_overfit/atlases/skin_180ffb08.png,data_v35_bluecurve_overfit/atlases/skin_180ffb08.meta.json
skin_180ffb08,0018,data_v35_bluecurve_overfit/views/skin_180ffb08_0018.png,data_v35_bluecurve_overfit/atlases/skin_180ffb08.png,data_v35_bluecurve_overfit/atlases/skin_180ffb08.meta.json
skin_180ffb08,0019,data_v35_bluecurve_overfit/views/skin_180ffb08_0019.png,data_v35_bluecurve_overfit/atlases/skin_180ffb08.png,data_v35_bluecurve_overfit/atlases/skin_180ffb08.meta.json
skin_180ffb08,0020,data_v35_bluecurve_overfit/views/skin_180ffb08_0020.png,data_v35_bluecurve_overfit/atlases/skin_180ffb08.png,data_v35_bluecurve_overfit/atlases/skin_180ffb08.meta.json
skin_180ffb08,0021,data_v35_bluecurve_overfit/views/skin_180ffb08_0021.png,data_v35_bluecurve_overfit/atlases/skin_180ffb08.png,data_v35_bluecurve_overfit/atlases/skin_180ffb08.meta.json
skin_180ffb08,0022,data_v35_bluecurve_overfit/views/skin_180ffb08_0022.png,data_v35_bluecurve_overfit/atlases/skin_180ffb08.png,data_v35_bluecurve_overfit/atlases/skin_180ffb08.meta.json
skin_180ffb08,0023,data_v35_bluecurve_overfit/views/skin_180ffb08_0023.png,data_v35_bluecurve_overfit/atlases/skin_180ffb08.png,data_v35_bluecurve_overfit/atlases/skin_180ffb08.meta.json
skin_180ffb08,0024,data_v35_bluecurve_overfit/views/skin_180ffb08_0024.png,data_v35_bluecurve_overfit/atlases/skin_180ffb08.png,data_v35_bluecurve_overfit/atlases/skin_180ffb08.meta.json
skin_180ffb08,0025,data_v35_bluecurve_overfit/views/skin_180ffb08_0025.png,data_v35_bluecurve_overfit/atlases/skin_180ffb08.png,data_v35_bluecurve_overfit/atlases/skin_180ffb08.meta.json
skin_180ffb08,0026,data_v35_bluecurve_overfit/views/skin_180ffb08_0026.png,data_v35_bluecurve_overfit/atlases/skin_180ffb08.png,data_v35_bluecurve_overfit/atlases/skin_180ffb08.meta.json
skin_180ffb08,0027,data_v35_bluecurve_overfit/views/skin_180ffb08_0027.png,data_v35_bluecurve_overfit/atlases/skin_180ffb08.png,data_v35_bluecurve_overfit/atlases/skin_180ffb08.meta.json
skin_180ffb08,0028,data_v35_bluecurve_overfit/views/skin_180ffb08_0028.png,data_v35_bluecurve_overfit/atlases/skin_180ffb08.png,data_v35_bluecurve_overfit/atlases/skin_180ffb08.meta.json
skin_180ffb08,0029,data_v35_bluecurve_overfit/views/skin_180ffb08_0029.png,data_v35_bluecurve_overfit/atlases/skin_180ffb08.png,data_v35_bluecurve_overfit/atlases/skin_180ffb08.meta.json
skin_180ffb08,0030,data_v35_bluecurve_overfit/views/skin_180ffb08_0030.png,data_v35_bluecurve_overfit/atlases/skin_180ffb08.png,data_v35_bluecurve_overfit/atlases/skin_180ffb08.meta.json
